音频文件名,转录文本,MOS值,打分的具体原因
common_voice_en_20617_xtts_aefbd1b2-e8ce-418a-b067-26fec95396b0.wav,"According to recent government statements, Islamic terrorism is the biggest threat to Canada.",4.1,"很好，语速适中，发音清晰，听感流畅，像真人说话。"
common_voice_en_20617_cosyvoice2_624e0114-3d72-4cf5-be8d-ae9e92f95c60.wav,"According to recent government statements, Islamic terrorism is the biggest threat to Canada.",4.3,"很好，语速适中，发音清晰，声音自然，接近真人，听感很好。"
common_voice_en_9559_cosyvoice2_048383fe-3874-46b8-acc7-72a43772b88e.wav,"He got up early with the idea of finding it.",3.8,"稍差，发音清晰，但语速稍慢，且“finding”听起来有点怪，有些字音有轻微的电子音感。"
common_voice_en_9559_xtts_89598508-1b1c-4fb9-83a3-06bd8f535921.wav,"He got up early with the idea of finding it.",4.0,"很好，发音清晰，语速正常，听感流畅，像真人说话。"
common_voice_en_177895_xtts_3e2a1498-6d06-4868-945c-ab9e8f9d7cde.wav,"The famous Mona Lisa painting was painted by Leonardo Da Vinci.",3.9,"稍差，发音清晰，但语速偏慢，语调有些生硬，在“Da Vinci”后有奇怪的停顿。"
common_voice_en_485101_cosyvoice2_0d0335a1-dba2-42e5-a356-3c25c4ec2b5f.wav,"The runway seems way too short for this type of plane.",4.4,"很好，发音清晰，语速适中，声音自然，语调接近真人，听感很好。"
common_voice_en_177895_cosyvoice2_b54c6426-e906-4186-ab55-a359d34b03d0.wav,"The famous Mona Lisa painting was painted by Leonardo Da Vinci.",4.2,"很好，发音清晰，语速适中，声音自然，听感流畅。"
common_voice_en_153872_cosyvoice2_befde640-3d08-4587-a9d9-892d23ff4833.wav,"Tyler, Lucy, Michelle, were going to space.",3.6,"稍差，发音清晰，但“Michelle”的重音和语调奇怪，整体听起来有轻微的电子音，不是特别自然。"
common_voice_en_153872_xtts_75b45db2-c476-4c8d-b964-3f1bc18d70a9.wav,"Tyler, Lucy, Michelle, were going to space.",3.7,"稍差，发音清晰，但语速偏快，语调有些夸张和生硬，不像自然对话。"
common_voice_en_485101_xtts_57d89cd4-faf3-4c64-b15a-479c824e70c2.wav,"The runway seems way too short for this type of plane.",4.0,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_537766_xtts_caa5cfdd-318e-4eb9-823e-5941f1cd3fc5.wav,"The snake slithered toward the shaded boulders under the cliff.",4.1,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_537766_cosyvoice2_591608bd-5c4f-40b0-8f3a-b172cac0898a.wav,"The snake slithered toward the shaded boulders under the cliff.",4.3,"很好，发音清晰，语速适中，声音自然，接近真人，听感很好。"
common_voice_en_563060_cosyvoice2_b484c713-62ef-41b7-9cef-929995b85bcc.wav,"As they began to decorate the hallway, a silhouette appeared in the doorway.",4.2,"很好，发音清晰，语速适中，声音自然流畅，断句自然。"
common_voice_en_509177_xtts_7ad3fa86-0555-47e9-bf4e-79265804425d.wav,"In biology we study plants and animals in their natural environment.",3.8,"稍差，发音清晰，但语速稍慢，且“environment”的尾音有点拉长和生硬，听感稍欠流畅。"
common_voice_en_557458_cosyvoice2_51b0ca92-3d4b-4aa5-971e-adcd1e6db703.wav,"The Panama Canal connects the Pacific Ocean with the Atlantic Ocean.",3.6,"稍差，发音清晰，但声音质量一般，底噪较大，听起来有点闷，不像清晰的真人发音。"
common_voice_en_550301_xtts_029e7a10-d990-48d0-9a76-e604cdb24aa4.wav,"He did find it soon after dawn and not far from the sand pits.",4.0,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_557458_xtts_4d24ee45-c191-4a1d-ab6f-37edcf83a4f1.wav,"The Panama Canal connects the Pacific Ocean with the Atlantic Ocean.",4.1,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_563060_xtts_9ea8bb6e-0831-428f-a615-7d94a0a13c70.wav,"As they began to decorate the hallway, a silhouette appeared in the doorway.",4.0,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_509177_cosyvoice2_633cd7b4-88dd-4ec9-af14-4a14b2f3796a.wav,"In biology we study plants and animals in their natural environment.",4.3,"很好，发音清晰，语速适中，声音自然，接近真人，听感很好。"
common_voice_en_550301_cosyvoice2_3233c612-9a3b-4948-a1f9-4d710cf5b1bd.wav,"He did find it soon after dawn and not far from the sand pits.",4.2,"很好，发音清晰，语速适中，声音自然，接近真人，听感流畅。"
common_voice_en_568078_cosyvoice2_c03fd233-f329-4ea6-95f4-ffeaaf6bb508.wav,"A woman sits as she shows the designs she has made in the floor.",4.3,"很好，发音清晰，语速适中，声音自然，听感流畅。"
common_voice_en_568078_xtts_2eb69f5c-2cc8-4de0-9427-bead2ed24537.wav,"A woman sits as she shows the designs she has made in the floor.",4.1,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_566283_cosyvoice2_f4442f41-8e48-4261-8c9c-243c8ed06fce.wav,"It's a long way to Tipperary, it's a long way to go.",4.0,"很好，发音清晰，语速适中，听感流畅。"
common_voice_en_566283_xtts_91f98b4d-8102-4903-973e-5e0208b940bd.wav,"It's a long way to Tipperary, it's a long way to go.",3.5,"稍差，发音清晰，但语速稍慢且有些生硬，尤其在“Tipperary”之后，像机器朗读，缺乏自然韵律。"
common_voice_en_570619_cosyvoice2_e6a5f3fe-3d01-4185-ae18-a3cfa3e25837.wav,"Strange images passed through my mind.",4.4,"很好，发音清晰，语速适中，声音非常自然流畅，接近真人。"
common_voice_en_570619_xtts_a481e2dc-0e30-489d-b33c-10b1d115718e.wav,"Strange images passed through my mind.",3.9,"稍差，发音清晰，但语速稍慢，且在“mind”后有明显的停顿和呼吸声，听感略有中断。"
common_voice_en_682528_cosyvoice2_c5a25f7b-99c4-4f4a-9753-c35077249d9c.wav,"Reading between the lines requires understanding.",4.2,"很好，发音清晰，语速适中，声音自然流畅，听感很好。"
common_voice_en_682528_xtts_1740ba52-1daf-4320-a9d8-7e02f7c0ed5d.wav,"Reading between the lines requires understanding.",4.0,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_571544_xtts_8ce7398d-7cee-4df6-8a2c-d230a8c83d91.wav,"It was the first time either had touched the other.",4.1,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_571544_cosyvoice2_564deed4-285b-4939-bb5a-7405ec2694da.wav,"It was the first time either had touched the other.",4.3,"很好，发音清晰，语速适中，声音自然，接近真人，听感很好。"
common_voice_en_684395_xtts_1aa10332-0386-4e77-b75e-9ffc40efd61a.wav,"A large piece suddenly came off and fell with a loud and sharp noise.",4.0,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_684395_cosyvoice2_f6c17697-c6a7-464c-97a1-50394f6d5971.wav,"A large piece suddenly came off and fell with a loud and sharp noise.",4.2,"很好，发音清晰，语速适中，声音自然，听感流畅。"
common_voice_en_691678_xtts_dfc9c119-eb34-43d3-afda-ee4405b85892.wav,"Dense clouds of smoke or dust can be seen through a powerful telescope.",3.9,"稍差，发音清晰，但语速稍慢，且语调有些平淡，听起来有点生硬。"
common_voice_en_691678_cosyvoice2_4030fb50-ebd1-4570-8a90-937b3223b4ae.wav,"Dense clouds of smoke or dust can be seen through a powerful telescope.",4.3,"很好，发音清晰，语速适中，声音自然，接近真人，听感很好。"
common_voice_en_10119832_xtts_2e35c06a-f53a-4bab-802e-37fb2692bfb4.wav,"One by one, the campfires were extinguished, and the oasis fell as quiet as the deserts.",3.8,"稍差，发音清晰，但语速稍慢，且在“deserts”处有轻微的电子音感。"
common_voice_en_10119832_cosyvoice2_19aa78b2-4ce4-4b20-bd91-683709bc2353.wav,"One by one, the campfires were extinguished, and the oasis fell as quiet as the deserts.",4.1,"很好，发音清晰，语速适中，声音自然，听感流畅。"
common_voice_en_10933823_xtts_fca60395-fa5e-4e6b-878c-9860cccdff7b.wav,"The only shadow was that of the few scattered pine trees.",4.0,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_10933823_cosyvoice2_65546921-15ca-4a6a-bb9a-80d4f4098bb6.wav,"The only shadow was that of the few scattered pine trees.",4.2,"很好，发音清晰，语速适中，声音自然流畅，断句自然。"
common_voice_en_691043_xtts_1692d7f4-704f-4d8d-8ab7-37ddecfcca7d.wav,"I have the diet of a kid who found $20.",3.7,"稍差，发音清晰，但语速偏慢，且在“kid”后有明显的停顿，像机器朗读，缺乏自然韵律。"
common_voice_en_691043_cosyvoice2_2daa8e96-1a40-40f6-8d9f-71036e29aab9.wav,"I have the diet of a kid who found $20.",4.1,"很好，发音清晰，语速适中，声音自然流畅，听感很好。"
common_voice_en_17444666_xtts_0db05159-dc2d-4be5-8499-120fda8e874c.wav,"He always stutters when he's nervous. That's why he delegated the speech.",4.0,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_17444666_cosyvoice2_6fea6180-3757-4524-9391-591e69f272a5.wav,"He always stutters when he's nervous. That's why he delegated the speech.",4.3,"很好，发音清晰，语速适中，声音自然，接近真人，听感很好。"
common_voice_en_17781154_xtts_5a925abd-2762-4d6e-ab1d-30e829969504.wav,"The virus spread faster than wildfire.",4.1,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_17781154_cosyvoice2_ee8ad640-1650-42c6-a777-b9094e2afdc9.wav,"The virus spread faster than wildfire.",4.2,"很好，发音清晰，语速适中，声音自然，听感流畅。"
common_voice_en_17369337_xtts_2174431c-63e2-4268-90a6-f18b5c9d5aa3.wav,"With skin and hair completely, thoroughly out and out.",3.8,"稍差，发音清晰，但语速稍慢，且“completely, thoroughly”之间的停顿不自然，有点生硬。"
common_voice_en_17369337_cosyvoice2_63241bc3-fdab-4b6c-a4ea-cc3630a0fab8.wav,"With skin and hair completely, thoroughly out and out.",3.7,"稍差，发音清晰，但语速稍慢，且在“completely”和“thoroughly”之间有轻微的停顿，听起来有点不连贯。"
common_voice_en_17274522_xtts_f7aa31e1-cbe3-486e-9c7e-84c0594656d0.wav,"Television can make you dumb, but it can also be good education.",3.9,"稍差，发音清晰，但语速稍慢，且在“dumb”和“but”之间有明显的停顿，像机器朗读。"
common_voice_en_17274522_cosyvoice2_7f68f0e3-e7d7-4ec8-9bd8-39fe5e852687.wav,"Television can make you dumb, but it can also be good education.",4.3,"很好，发音清晰，语速适中，声音自然，听感流畅。"
common_voice_en_17369851_xtts_21aae6c8-62c7-4b45-9bd1-a0e035365108.wav,"Sooner or later they'll find out how to read these hieroglyphics.",3.7,"稍差，发音清晰，但语速偏慢，且在“hieroglyphics”处有明显的拉长音和生硬感。"
common_voice_en_17369851_cosyvoice2_6be306df-e14f-4177-8ee7-a1e40a9aca0b.wav,"Sooner or later they'll find out how to read these hieroglyphics.",3.6,"稍差，发音清晰，但语速偏慢，且在“hieroglyphics”处发音略微卡顿和生硬，听起来不流畅。"
common_voice_en_17830764_cosyvoice2_d08299f8-1b9c-4b47-82dd-caf4bd8b35aa.wav,"Lush ferns grow on the lofty rocks.",4.3,"很好，发音清晰，语速适中，声音自然，听感流畅。"
common_voice_en_17830764_xtts_896bc40f-a9df-472c-a416-55ed32b3e991.wav,"Lush ferns grow on the lofty rocks.",4.1,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_17854896_cosyvoice2_2e0142c8-7704-4342-9906-ffcafcf2f498.wav,"Not to know how to sign one's name.",4.4,"很好，发音清晰，语速适中，声音自然，接近真人，听感很好。"
common_voice_en_17854896_xtts_1fa5323b-82c0-447a-85f6-17e42534ae00.wav,"Not to know how to sign one's name.",3.7,"稍差，发音清晰，但语速偏慢，且在“know how to sign”和“one's name”之间有明显的停顿，听起来有些不自然。"
common_voice_en_18313326_cosyvoice2_ea179364-d793-42c2-9d07-4bd49d3ec68e.wav,"The questionnaire is too simplistic.",4.3,"很好，发音清晰，语速适中，声音自然流畅。"
common_voice_en_18313326_xtts_473083ae-4ee5-4730-80ab-f667a84ab2b7.wav,"The questionnaire is too simplistic.",4.0,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_18529345_cosyvoice2_0e55ad2e-4c30-47b9-86cd-6290466cb70f.wav,"Increment the order quantity, if you require more than one item.",4.2,"很好，发音清晰，语速适中，声音自然，听感流畅。"
common_voice_en_18529345_xtts_ae725187-be14-47c8-80b0-5e708a5bc192.wav,"Increment the order quantity, if you require more than one item.",4.0,"很好，发音清晰，语速适中，听感流畅，像真人说话。"
common_voice_en_18533403_cosyvoice2_cda51911-b776-4be5-b0bf-a7d916031f05.wav,"Can't you see the scene, he asked with a queer smile of excitement.",4.1,"很好，发音清晰，语速适中，声音自然流畅。"
common_voice_en_18533403_xtts_86288dcf-c7a9-476a-aa76-a0f370ef06e6.wav,"Can't you see the scene, he asked with a queer smile of excitement.",3.5,"稍差，发音清晰，但语速偏慢，且在“excitement”后有奇怪的呼吸声和停顿，听感不自然。"
